,id,sum,group
734,Erskine Carter,1,2
735,Edme Bouchardon,1,2
736,Adeline S. Illingworth,1,2
737,vicomte Charles Henri Desfosses,1,2
738,Élisabeth Louise Vigée Le Brun,1,2
739,Angélique Allais,1,2
740,Thomas Dooley,1,2
741,Abraham Blooteling,1,2
742,Abraham Bloemaert,1,2
743,Esaias van de Velde I,1,2
744,A.R. Tolman,1,2
745,Thomas Hart Benton,1,2
746,Thomas Hirschmann,1,2
747,Earl Horter,1,2
748,Edith Olney,1,2
749,duc de François La Rochfoucauld,1,2
750,Acke Aslund,1,2
751,Theodore Kraus,1,2
752,Edward Borein,1,2
753,Theodor Galle,1,2
754,William Spiecker,1,2
755,Elmer G. Anderson,1,2
756,Amos C. Brinton,1,2
757,Natalie Simon,2,2
758,Mildred Ford,2,2
759,Charles B. J. Févret de Saint-Mémin,2,2
760,British 20th Century,2,2
761,Michiel van der Gucht,2,2
762,Jean Daullé,2,2
763,Walter Praefke,2,2
764,Joannes Meyssens,2,2
765,Wellington Blewett,2,2
766,Jean Duplessi-Bertaux,2,2
767,Jeremias Falck,2,2
768,Pierre-Imbert Drevet,2,2
769,Jean-Étienne Liotard,2,2
770,Jean-Auguste-Dominique Ingres,2,2
771,Walter G. Capuozzo,2,2
772,Jean Pelletier,2,2
773,Wsesolod Woinoff,2,2
774,Albert Bloch,2,2
775,dame de Francoise d'Issembourg d'Happoncourt Graffigny,2,2
776,Jean Testard,2,2
777,Johann Heinrich Rode,2,2
778,Betty Fuerst,2,2
779,Master of the Golden Bull,2,2
780,Johann Georg Eckart,2,2
781,Johann Friedrich Fleischberger,2,2
782,Master of the Meshed Background,2,2
783,Wilbrode-Magloire-Nicolas Courbe,2,2
784,Max Beckmann,2,2
785,Mino da Fiesole,2,2
786,Johann Christoph Teucher,2,2
787,Max Unger,2,2
788,Minnetta Good,2,2
789,Aaron Fastovsky,2,2
790,Jean Victor Dupin,2,2
791,W.T. Annis,2,2
792,Pierre-Antoine Demachy,2,2
793,comte de Anne-Claude-Philippe de Tubières Caylus,2,2
794,Jean-Baptiste-Pierre Le Brun,2,2
795,Mrs. Goodwin,2,2
796,Cecil Smith,2,2
797,Pierre Thomas Le Clerc,2,2
798,Carle Van Loo,2,2
799,Charles Enjoian,2,2
800,Carle Vernet,2,2
801,Charles Goodwin,2,2
802,Wanda Gág,2,2
803,Jean-Baptiste Perronneau,2,2
